numero_base,classe,descricao
010180,1,"Elementos químicos de fissão Substâncias químicas para análises em laboratório, exceto para uso médico ou 1 veterinário Preparações químicas para análises em laboratórios, exceto para uso médico ou 1 veterinário"
010182,1,Cloratos
010183,1,Cloro
010184,1,Cloridratos
010185,1,Ácido hidroclorídrico
010186,1,Ácido cólico
010187,1,Cromato
010188,1,Alúmen de cromo
010189,1,Óxido de cromo
010190,1,Sais de cromo
010191,1,Ácido crômico
010192,1,Mástique para couro
010193,1,Mástique para pneus
010194,1,Cimento para consertar objetos quebrados
010195,1,"Preparações para impermeabilização de cimento, exceto tintas"
010196,1,"Produtos para conservação de cimento, exceto tintas e óleos"
010197,1,Fluidos para circuitos hidráulicos
010197,1,Líquidos para circuitos hidráulicos
010198,1,Cera para enxertar árvores
010199,1,Ácido cítrico para uso industrial
010200,1,Preparações para colagem de mostos
010202,1,Cola para acabamento
010203,1,Substâncias adesivas para papel de parede
010205,1,Agentes de colagem para vinho
010206,1,Colódio *
010207,1,Sais para colorir metal
010208,1,Banhos [molhos] para amaciar peles
010208,1,"Banhos [molhos] para amaciar peles, exceto óleos"
010209,1,Produtos para conservação de flores
010210,1,Produtos para conservação para uso na indústria farmacêutica
010211,1,Preparações químicas para uso em fotografia
010212,1,Tela sensível para fotografia
010213,1,Chapas fotossensíveis
010214,1,Preparações corrosivas
010215,1,Preparações para acabamento do couro
010216,1,Preparações para acabamento de peles
010219,1,Creme de tártaro para uso químico
010220,1,Aldeído crotônico
010221,1,Preparações criogênicas
010222,1,Colas para couro
010223,1,Substâncias químicas para revestimento do couro
010224,1,Substâncias químicas para impregnação de couro
010225,1,Vitríolo azul
010225,1,Sulfato de cobre [vitríolo azul]
010226,1,Cúrio
010227,1,Soluções para cianotipia
010228,1,Cianetos [prussiatos]
010228,1,Prussiatos
010229,1,Ferrocianetos
010230,1,Cimeno
010231,1,Preparações desengordurantes para uso em processo de manufatura
010232,1,Preparações para descolar e separar
010232,1,Preparações para descolagem
010233,1,Substâncias químicas para separação de óleo
010234,1,Solventes de goma
010234,1,Preparações para desengomar
010236,1,Desfolhantes
010237,1,Preparações para desmoldagem
010238,1,Substâncias para despolir
010239,1,Preparações desidratantes para uso industrial
010240,1,Desincrustantes
010241,1,Detergentes para uso em processos de manufatura
010242,1,Dextrina [acabamento]
010243,1,"Preparações para diagnóstico, exceto para uso médico ou veterinário"
010244,1,Diástase para uso industrial
010245,1,Papel diazo
010246,1,Preparações para renovar discos fonográficos
010247,1,Água destilada
010248,1,Dolomita para uso industrial
010249,1,Preparações para endurecer metal
010250,1,Disprósio
010251,1,Água acidulada para recarga de baterias
010251,1,Água acidulada para recarga de acumuladores
010252,1,Glicerina para uso industrial
010253,1,Água pesada
010254,1,Preparações de clarificação
010254,1,Preparações de purificação
010255,1,Permutadores de íons [substâncias químicas]
010256,1,Preparações para fabricação de flashes
010257,1,Preparações para economizar combustível
010259,1,"Papel reagente, exceto para uso médico ou veterinário"
