numero_base,classe,descricao,referencias_correlacionadas
090508,9,Apitos para cães,050076;130028;130028;200058;310031;450274
090509,9,Miras telescópicas para armas de fogo,040013;130009;130010;130021;130026;130028;130031;130033;130036;130037;130038;130040;130042;130047;130058;130065;130077
090511,9,Dispositivos de alarme antirroubo,100291;120200;120211;370016
090512,9,Instrumentos azimutais,080002;080019;080031;080091;080092;080093;080136;080198;080212;080223;080288;100027;100054;100055;100073;100102;100114;100156;100202;110405;140030;150015;150017;150024;150025;150028;150030;150031;150034;150035;150044;150048;150054;150055;150060;150064;150065;150073;150077;150086;150088;150090;150094;150095;150096;150099;160045;160125;160208;210008;210104;210344;210404;280179;280278;370127;370139;370141;370164;370169
090513,9,Balizas luminosas,060282;190195;260136;280164
090514,9,Suportes para bobinas elétricas,060431;070054;070092;070105;070408;100146;110279;110343;110368;110410;160018;160043;160388;200101;200212;210080;210260;210287;210399;210400;260046;390112
090515,9,"Filmes, expostos",010464;010581;010598;170133;350104;370046;410217;410225
090516,9,"Placas sinalizadoras para estrada, luminosas ou mecânicas",060212;060228;190164
090517,9,Boias salva-vidas,120354;280069;280211;450243;450275
090518,9,Boias de sinalização,060412;200251;280069;280211
090522,9,Campainhas [cigarras],060121;120269;200283
090524,9,"Sinalizadores de neblina, não explosivos",060370;070477;130003;130005;130034;130035;130044;130045;130051;130060;130062;130064;130080;160327;200253;210279
090525,9,Caixas registradoras,050501;070081;150052;160067;160133;210038;210243;210440;260049;280271;340034;350174
090526,9,Telas radiológicas para uso industrial,010024;010029;010040;010055;010078;010113;010135;010199;010239;010244;010248;010252;010272;010273;010289;010305;010316;010328;010330;010368;010369;010385;010397;010413;010414;010426;010444;010454;010460;010472;010489;010490;010499;010512;010536;010545;010557;010558;010558;010559;010564;010570;010580;010590;010591;010593;010597;010599;010600;010609;010614;010636;010638;010642;010664;010666;010668;010673;010676;040047;040057;040065;040067;040075;040089;060428;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;100083;110292;160199;160216;170080
090529,9,Cartões magnéticos para identificação,060051;160070;160284;180126;200221;200260;280178;280207
090531,9,Células fotovoltaicas,060449;190240;440256
090532,9,"Densitômetros, exceto para fins medicinais",030230;030265;050041;050086;050114;050121;050148;050167;050170;050184;050332;050399;050402;050403;050405;050455;050456;050459;050460;050461;050462;050463;050465;050474;050499;050503;050520;050527;070582;080289;100079;100294;100295;100301;100319;300009;340047;440238
090533,9,Discos magnéticos,160400;280052;280158
090534,9,Discos flexíveis [disquetes],170022;170121;280052;280158
090535,9,Fitas para limpar cabeçotes de gravação,030263;100279;100322;160231;210331;210360;400035;410063
090536,9,Aparelhos de videocassetes,070172;100005;100057;100063;100120;100134;100135;100158;100196;110172;110415;280031;280044;280044;410068
090537,9,Teclados de computador,150024;150061;280282;420262
090538,9,Circuitos integrados,400146;410214;420309
090539,9,Semicondutores,070607;070608;400145
090540,9,Chips [circuitos integrados],400146;420309
090546,9,Coletes salva-vidas,120354;250082;450243;450275
090547,9,Cintos de salvamento,100045;100047;100175;120355;250031;260031;280142;280212;390015;390057;390085
090549,9,Aparelhos e instrumentos de química,070490;100054;100073;100102;100114;100156;140030;420030
090550,9,"Filmes cinematográficos, expostos",010581;010598;400002;410019;410057
090553,9,"Material para condutos elétricos [fios, cabos]",060311;060421;080103;100149;160175;190232;200224;220084;230001;230014;230015
090556,9,Incubadoras para cultura bacteriológica,010652;070442;100067;100177;210305
090557,9,Baterias solares,010006;010251;110269;110270;150066;150094;370137;400141
090558,9,Fios de cobre isolados,010225;060004;060019;060109;060110;060353;100056;100213;140049;160239;230001;230002;230004;230005;230007;230013;230014;230015
090559,9,"Tubos para descargas elétricas, exceto para iluminação",110111;110189;110263;110111;110263
090559,9,"Ampolas para descargas elétricas, exceto para iluminação",110111;110189;110263;110111;110263
090562,9,Diafragmas [fotografia],010090;010099;010212;010292;010298;010420;010548;070257;410101
090564,9,Aparelhos para destilação para uso científico,010456;010458;110120;310122;400134
090565,9,Dosímetros,100306
090566,9,Campainhas elétricas de porta,030229;060121;070105;110343;110368;110410;120269;140166;160333;160340;200283;210037;210064;210080;210260;210287;210399;210400;240082;390112
090568,9,Fornalhas para laboratórios,070605;110032;110032;110150;110151;110204;110244;110270;190092;060390;110025;110048;110053;110150;110151;110244;110279;110311;110317;190093;370047
090568,9,Fornos para laboratórios,070605;110032;110032;110150;110151;110204;110244;110270;190092;060390;110025;110048;110053;110150;110151;110244;110279;110311;110317;190093;370047
090571,9,Fibras ópticas [filamentos condutores de luz],220066
090572,9,Fios telefônicos,060004;060019;060108;060184;060242;060286;060353;060487;060487;080263;100056;100213;140009;140064;160239;170038;170047;170095;220016;220042;220079;220119;220119;230001;230002;230003;230004;230005;230006;230007;230009;230011;230013;230014;230015;230018;230019;230032
090573,9,Filmes para raios x expostos,010464;010581;010598;170133;410217;410225
090574,9,Filtros para raios ultravioletas [fotografia],010090;010099;010166;010212;010292;010548;070109;100181;160324;340006;410101
090577,9,Tripés para câmeras,100231;410088;450262
090581,9,Leitores de código de barras,060042;060459;060460;060461;060462;080009;110152;120034;200105;200203;300214;300218;410241
090582,9,Coletes à prova de bala,010016;020085;080302;100003;170008;190056;250078;250082;250159;280213;280281
090583,9,Boias de marcação,060412;190121;200251;260157;280069;280211;350129;400086
090584,9,Plaquetas para circuitos integrados,400146;410214;420309
090585,9,Aparelhos de cromatografia para laboratório,070172;100005;100057;100063;100120;100134;100135;100158;100196;110058;110150;110150;110172;110176;110415;280031;280044;280044;420217
090586,9,Cronógrafos [instrumento para medição de tempo],100151;150003;150019;150084;420234;420312
090587,9,Discos compactos [cd] [áudio e vídeo],410106
090589,9,"Programas operacionais para computador, gravados",420197
090590,9,Periféricos de computador,200375;350080;350081;350086;380023;380024;420139;420140;420141;420159;420176;420197;420201;420204;420206;420239;420249;420262;420267;420282;450212
090592,9,Condensadores ópticos,070011;070115;110294
090593,9,Acopladores acústicos,060485;190266
090594,9,Acopladores [processamento de dados],070265;280050;350075;350095;350173;380051;400067;400091;400109;420225;420243;420274;420285;420286;440260
090595,9,Câmaras de descompressão,010032;100276;110156;110325;120007;120008;120194;120214;190215;280001
090596,9,Plotters [traçador gráfico],420258;420271
090597,9,Máscaras para mergulho,030020;100112;100270;100302;110322;120322;120351;250163;280089;280090;280131;280222;280247;410065
090598,9,Canetas eletrônicas para unidades de visualização,150098;160011;160131;160133;160133;160185;160225;160253;160299;160301
090599,9,Cartões magnéticos codificados,160070;160284;180126;200260;280178;280207
090600,9,Aparelhos de fac-símile [fax],380026;380031
090603,9,Interfaces para computadores,420083
090604,9,Juke-boxes para computadores,110298;420083
090605,9,Joelheiras para operários,100193;180053;280144
090606,9,Dimmers [interruptor de graduação de intensidade luminosa],150045;190165;110215;150045
090606,9,Reguladores de intensidade luminosa [dimmer],150045;190165;110215;150045
090607,9,Suportes magnéticos para dados,060431;070092;200212;260046;280050;380051;420175;420225;420243
090608,9,Codificadores magnéticos,160400;200260
090609,9,Unidades de fita magnética para computadores,170118
090612,9,Monitores [periféricos de computador],100247;100248;420262
090613,9,Monitores [programas de computador],160231;420197
090614,9,Mouses de computador,280283;280294;420262
090615,9,Leitores ópticos de caractere,410241
090616,9,Suportes ópticos para dados,060431;070092;200212;260046;280050;380051;420175;420225;420243
090617,9,Discos ópticos,280052;280158
090618,9,Impressoras para uso com computadores*,070555;400144;420083
090619,9,Processadores [unidades centrais de processamento] [informática],070475;350075;350095;070475;350075;350095
090619,9,Unidades centrais de processamento [processadores] [informática],070475;350075;350095;070475;350075;350095
090620,9,Leitores [equipamentos de processamentos de dados],160343;280050;280105;280149;280201;380051;410241;420225;420243
090621,9,"Cintos de segurança, exceto para veículos ou equipamentos desportivos",120059;280105;280142;280149;280176;280201;410066;410071
090622,9,Escâneres [scanner] para processamento de dados,350075;350095;350173;420274;420285;420286
090623,9,Detectores de fumaça,110370;110409;210139
090624,9,Transistores [eletrônicos],060062;060472;150044;160350;200344;280193;340039;340040;390113;410084;410233;410268;410269
090625,9,"Radiografias, exceto para uso médico",010178;010180;010243;010259;010579;010594;010595;010657;010658;010727;050036;050036;050096;050108;050393;050437;100024;100221;100225;100230;100264;100274;100306;100347;100347;110359;200358;340019;440256
090626,9,Mangas de junção para cabos elétricos,060311;080011;080103;380038
090628,9,Agendas eletrônicas,150098;410099;410231
090629,9,Aparelhos de secretária eletrônica,070172;100005;100057;100063;100120;100134;100135;100158;100196;110172;110415;200180;280031;280044;280044;350074;360128;410092
090630,9,Câmeras de vídeo,100231;380053;410069;410088;410106;410237;450262
090631,9,Toca-fitas,030263;050521;060131;100279;100322;160143;170107;200027;200162;260095;260096;260117;260120;260140;280239;280277;410069
090633,9,"Aparelhos de diagnóstico, exceto para uso médico",010243;010259;010594;010740;050096;050108;050330;050393;050437;050443;100024;100201;100221;100225;100230;100264;100274;100306;100319;100347;100347;110359
090634,9,Drives de disquetes para computadores,200266;350084;370116;380037;380040;380041;400144;420083;420194;420203;420215;420235
090635,9,Trilhos elétricos para montagem de holofotes,060116;060129;070322;070512;110375;200171;210226;210377;370093;370115;400083
090636,9,Tradutores eletrônicos de bolso,060062;060472;110280;180069;210348;240078;250161;280193;410233;410268;410269
090637,9,Etiquetas eletrônicas para mercadorias,150098;180130;200307;210373;240102;390027;390028;390038;390075;390086;390089
090638,9,Cobertores para incêndio,100191;110305;120353;240114;240121;240136;360034;450204
090639,9,Flash [fotografia],010027;010090;010097;010099;010211;010212;010292;010298;010420;010548;410101
090640,9,Cartões com circuito integrado [cartões inteligentes],160070;160250;160284;180126;280178;280207;160070;160250;160284;180126;280178;280207
090640,9,Cartões inteligentes [cartões com circuito integrado],160070;160250;160284;180126;280178;280207;160070;160250;160284;180126;280178;280207
090641,9,Colheres de dosagem,080059;080080;080087;080203;080272;080273;100069;100305;210156;210227;210326;210386;210437;210467
090642,9,Notebook [computadores],200266;350084;370116;380037;380040;380041;400144;420083;420194;420203;420215;420235
090643,9,Quadros eletrônicos para avisos,060062;060472;120221;120284;150044;160008;160030;160201;160348;160350;200040;200190;200197;200344;220089;280193;390113;410233;410268;410269
090644,9,Calculadoras de bolso,110280;180069;210348;240078;250161;410269
090645,9,"Calçados para proteção contra acidentes, irradiação e fogo",010404;170134;210460;220115;220121;360001;420206
090646,9,Sprinklers [jatos aspersores] para incêndio,120353;360034;370015;450203;450204
090647,9,Cabos de ignição para motores,070016;070029;070077;070137;070244;070394;070434;070618;070622;080103;110018;200224;220084
090649,9,Relógios de ponto,140011;140016;140017;140021;140022;140023;140025;140027;140028;140032;140042;140043;140044;140057;140058;140059;140082;140144;140145;140188;370051
090650,9,Videocassetes [fitas],030263;050521;060131;100279;100322;160143;170107;200027;200162;260095;260117;260120;260140;280239;410068
090651,9,Cartuchos para videogames,070424;070477;130003;130023;130024;160102;280214;280228;280255;280256;370130
090652,9,Monitores de vídeo,100247;100248;380053;410069;410088;410106
090654,9,Óculos para esportes,100328;100329;100330;100331;100332;100333;100334;100339;100341;210144;210486;210486;250132;250141;250172;280046;280052;280064;280143;280144;280174;280258;280266;280284;280289;370180;410233;440272
090655,9,Prendedores de nariz para mergulho,060012;100266;100343;110322;120322;120351;140033;160353;200177;200296;240047;260040;260119;280247;410065
090656,9,Capacetes de segurança para esportes,100301;110182;190192;250132;250141;250172;280046;280052;280064;280143;280144;280258;280266;410233
090657,9,"Publicações eletrônicas, baixáveis",150098;160179;410099
090658,9,Programas de computador baixáveis,160231;350137;420197
090659,9,Dispositivos de navegação para veículos [computador de bordo],100291;110112;120047;120074;120077;120117;120125;120128;120149;120195;120200;120204;120204;120212;120258;120261;120271;120276;120326;120327;390107;420195
090660,9,Ímãs decorativos,030181;100312;260151
090661,9,Telefones sem fio,060132;220055;380048
090662,9,Mouse pads [informática],420090;420175;420177;420272
090663,9,Rádios toca-fitas portáteis,030263;100279;100322;110149;200339
090664,9,Apoios para os pulsos [informática],100230;120015;150050;420175;420177
090665,9,Cabos coaxiais,060057;060058;060059;060059;060172;060311;060313;060314;070434;080103;080275;080276;080277;170094;170098;180014;200016;200224;210389;220084;370140
090666,9,Cabos de fibra óptica,070619;070619;080103;200224;220084;380030
090667,9,Protetores de tomada,010326;050315;050378;050391;060028;100079;100124;100240;100318;200314;200357;210446;240030;240126;240126;250185;250201;280229;280284
090668,9,Medidores de profundidade oceânica,100222;100267;100273;420259
090669,9,Cercas elétricas,060368;060397;070105;070131;070300;110343;110368;110410;120297;190134;190135;190227;210080;210236;210260;210261;210287;210375;210399;210400;390112
090670,9,"Programas de jogos de computador, gravados",420197;420282
090671,9,Fones de ouvido,100124;100299
090672,9,Lâmpadas de lastro,100017;100105;100108;100130;100274;110021;110022;110023;110040;110071;110072;110122;110145;110163;110166;110169;110176;110179;110180;110182;110183;110347;110360;110402;110420
090674,9,Aparelhos de navegação por satélite,070172;100005;100057;100063;100120;100134;100135;100158;100196;110172;110415;280031;280044;280044;380035;390095;390107
090675,9,Válvulas de solenóide [interruptor eletromagnético],060243;060335;060359;070019;070108;070318;110194;110319;120032;150073;170019;170082;180087;200186;200231;200236
090676,9,Aparelhos de proteção contra variação de tensão,010404;100137;170134;210460;220115;220121;370148;420206
090678,9,Birutas [aparelhos que indicam a direção dos ventos],010643;070172;100005;100057;100063;100120;100134;100135;100158;100196;110172;110415;120317;120319;280031;280044;280044;410225;410232
090679,9,Indicadores eletrônicos emissores de luz,110414;160350
090680,9,Manequins de ressuscitação [material de ensino],100149;160175;200038;200064;200064;200064;410017;410075;410210;410211
090682,9,Aparelhos para controle de iluminação de palco,040015;040029;040039;040040;040041;110130;110229;110263;110333;140043
090684,9,Chips de dna [chips biológicos],400146;420309
090686,9,Caixas eletrônicos,050501;060062;060120;060472;070081;070198;140173;150044;150052;160133;160350;180023;200344;210038;210243;210244;210261;210440;210442;260049;260092;280193;280271;340034;340035;340039;350174;390113;410233;410268;410269
090687,9,Semáforos [dispositivos de sinalização],100291;120038;190165
090688,9,Kits hands-free para telefones,080231;080243;260130;280198;380034;420238
090689,9,Anteparos de amianto para bombeiros,020009;170003;170005;170035;170044;170071;170078;170079;170080;170081;170087;170088;170088;170091;190004;190005
090690,9,Capacetes de equitação,100287;100301;450278
090691,9,Vestuário especial para uso em laboratórios,050520;060202;100319;200059;250002;250020;250027;250045;250057;250059;250065;250077;250084;250089;250092;250096;250115;250123;260018;260064;260073;260077
090692,9,"Braceletes de identificação codificada, magnéticos",060051;060399;160400;200221
090694,9,Toques baixáveis para telefones celulares,260151;370153;420238
090695,9,Arquivos de música baixáveis,150052;150053;150087;200044;200062;350061;350176;440253
090696,9,Arquivos de imagem baixáveis,200044;200062;350061
090697,9,Bonecos para teste de colisão,100180;100219;280219;280268;420058;420109;420310;420314
090698,9,Centrífugas de laboratório,070084;070086;070088;110058;110176;420217
090699,9,Placas de circuito impresso,110170;160261;160268;190057;190089;200261
090701,9,Aparelhos de gps [sistema de posicionamento global],070517;210339;380040;420194
090702,9,Tocadores portáteis de mídia,050126;060248;060361;060480;070284;070480;070589;070597;080298;100299;110036;110149;200092;200147;200274;200333;200339;210261;210261;210301;210392;210448;280215;280229;280243;280256;370160;410268;430207
090703,9,Alças para telefones celulares,130063;180086;250202;260026;260151;280292;370153;420238
090704,9,Diodos emissores de luz [led],110333;110414
090706,9,Transformadores elevadores,070009;070024;070271;070587;070617;100204;120170;170051
090708,9,Mangueiras de incêndio,110344;120353;170006;170022;170025;170074;360034;450204
090709,9,Bolsas adaptadas para laptops,050307;120293;180010;180020;180074;180075;180124;180143;210323;220075
090710,9,Capas para laptops,120132;120260;120264;120298;160108;160392;180026;180054;180116;200252;210442;220075;240059;240074;240075;240115;240117;250177
090711,9,Porta-retratos digitais,030229;080186;120323;120344;140166;160112;160299;160301;160333;160340;180021;180113;180126;200053;200135;210037;210064;210310;210352;240082;250198;340031;350166;380047;410241
090713,9,Tubos de pitot,060011;060111;060127;060313;060335;070370;070416;070471;080075;080198;080299;100136;100296;110059;110068;110078;110189;110264;110398;150058;160078;170121;170122;190101;190218;200231;200291;210411;280027
090715,9,Cones de sinalização de trânsito,190165
090716,9,"Etiquetas indicadoras de temperatura, exceto para uso médico",010259;010594;050096;050108;050393;050437;100024;100221;100225;100230;100264;100274;100306;100347;100347;110359;180130;200358;210373;340019
090717,9,"Aplicativos, baixáveis",410201;410208;410252;420276
090718,9,Leitores de livros digitais [e-readers],110339;160018;160082;160095;160153;160249;160393;200270;200309;410024;410241
090720,9,Cartuchos vazios para impressoras e fotocopiadoras,020121;020123;020132;020133;070424;130023
090721,9,Babá eletrônica,360128;410092;450195;450198
090722,9,Babá eletrônica com vídeo,360128;380053;410069;410092;410106;450195;450198
090723,9,Para-sol [parte de câmera fotográfica],070567;120301;140022;250068
090725,9,Cartões [chaves de acesso] codificados,060083;150002;160070;180113;200260;280178;280207;400108
090726,9,Óculos 3d,060453;070555;070576;070596;100328;100329;100330;100331;100332;100333;100334;100341;210486;210486;280289;370180;400127;440272
090727,9,Cartões de memória para videogames,160070;160250;160284;160336;180126;280178;280207;280214;280228;280255;280256;420282
090728,9,Vestuário à prova de balas,020085;050057;060202;200059;250002;250020;250027;250045;250057;250059;250065;250077;250084;250089;250092;250096;250115;250122;250123;260018;260064;260073;260077;300020;300032
090730,9,Adaptadores elétricos,060311;070211;070256;070281;070287;070308;070331;070403;070444;070475;070489;070526;070528;070529;070553;070558;070558;070560;070565;070578;070585;070586;080169;080179;080214;080221;080242;080243;080248;080249;080251;080281;100175;100179;100191;100202;110082;110087;110107;110137;110257;110261;110293;110305;110348;110354;110362;110363;110375;110413;120110;120317;120318;120319;140032;160293;170029;210043;210048;210056;210084;210096;210111;210158;210176;210226;210229;210238;210239;210256;210264;210274;210345;210377;210406;210416;210429;210477;260127;370117;370151
090731,9,Cápsulas salva-vidas para desastres naturais,120354;450243;450275
090732,9,Hardware de computador,420141;420262
090733,9,Painéis solares para produção de eletricidade,060504;190275;410249
090734,9,Telefones celulares,260151;370153;420238
090735,9,Miras telescópicas para artilharia,130002;130058;130065
090736,9,Painéis digitais,060219;060381;060485;190154;190223;190266;200002;250198;380047;410241
090737,9,Monitores vestíveis de atividade física,050411;410194
090738,9,Carregadores para cigarros eletrônicos,340020;340021;340039;340040;340043;370160
090739,9,Pulseiras conectadas [instrumentos de medição],100250;100252;100255;140017;140030;420312
090740,9,Capas para smartphones,120132;120260;120264;120298;160108;160392;180026;180054;180116;200252;210442;220075;240059;240074;240075;240115;240117;250177
090741,9,Estojos para smartphones,080106;080107;080166;100334;130019;130033;160133;160214;160398;180093;210115;210128;210195;260091
090742,9,Bastões de selfie [suportes manuais],050102;050104;050493;050512;060431;070092;100146;110279;110399;160018;160211;160258;160334;180001;180001;180140;180140;180153;200101;200212;210469;260046;280081;280164;280251;280252
090744,9,Medidores de vazão,100222;100267;100273;420259
090745,9,Coletes salva-vidas refletivos,120354;250082;450243;450275
090746,9,Coleira eletrônica para adestrar animais,030063;060433;070431;180054;200006;200010;210403;310005;310006;310007;310059;310088;310112;360058;360124;360128;400094;410005;410092;430203;440009;440131;450264
090747,9,"Controles para uso com computadores, exceto para videogames",120278;280214;280224;280228;400144
090748,9,Óculos inteligentes,100328;100329;100330;100331;100332;100333;100334;100339;100341;100344;110417;210486;210486;250203;280288;280289;370180;420305;440272
090749,9,Relógios inteligentes,100344;110417;140011;140017;140021;140022;140023;140025;140027;140028;140032;140042;140043;140057;140058;140059;140082;140144;140188;250203;280288;370051;420305
090750,9,Aparelhos para extinguir fogo,010288;020085;040007;040013;070163;070172;070526;080122;080181;100005;100057;100063;100120;100134;100135;100158;100196;110172;110415;130009;130021;130026;130028;130031;130033;130036;130037;130038;130040;130042;130047;130077;190056;200046;270019;280031;280044;280044;450179
090751,9,Filmes protetores adaptados para telas de computador,050391;060428;120268;200357;210446;280229
090752,9,Protetores bucais para esportes,030031;050383;050391;100240;200357;210446;280046;280143;280284
090753,9,Protetores de cabeça para esportes,050391;050493;060028;100124;110346;200330;200332;200357;210446;240030;250132;250141;250142;250172;250185;250191;280046;280052;280064;280143;280144;280168;280258;280266;280284;410233
090754,9,Ponteiros para bússolas,140002;140174
090755,9,Hardware de token de segurança para autenticação de usuários,340037;420279
090757,9,Capas para assistentes pessoais digitais [pdas],120264;160108;180054;240059;240115;450228;450279
090758,9,Balanças para bebês,050145;050298;050448;050449;100177;100254;100271;200257;200258;200316;200330;200331;240123;250058;280234;280235
090759,9,Controle eletrônico de acesso para portas interligadas,060100;060450;060482;120160
090760,9,Câmeras termográficas,100231;410088;450262
090761,9,Balanças com avaliadores de massa corporal,030262;080288;170139;210328;210480;280241;300220;300222;300280
090762,9,Capas para tablets,120132;120260;120264;120298;120334;160108;160392;180026;180051;180054;180097;180111;180116;200129;200252;210093;210442;220075;240059;240074;240075;240115;240117;240128;250177
090763,9,Caixas-pretas [gravadores de dados],080105;280050;340034;380051;420225;420243
090764,9,Estações meteorológicas digitais,110407;250198;370176;380047
090765,9,Estações de carga para veículos elétricos,110407;120110;370151;370176;370179;390026
090766,9,Terminais interativos com tela de toque,160063;160407;250194
090767,9,Anéis inteligentes,050040;060038;060038;060110;070032;070339;080114;100018;100251;100344;110417;120127;140107;160016;170004;170009;170009;170131;200011;250203;280288;290200;420305
090768,9,Unidades de efeitos elétricos e eletrônicos para instrumentos musicais,150004;150005;150006;150007;150015;150017;150024;150025;150028;150029;150030;150031;150034;150035;150044;150054;150055;150060;150064;150065;150073;150077;150086;150088;150093;150094;150095;150096;150099;280278;370127;370139
090769,9,Interfaces de áudio,410085
090770,9,Equalizadores [aparelhos de áudio],070172;100005;100057;100063;100120;100134;100135;100158;100196;110172;110415;280031;280044;280044;410085
090772,9,Balanças de banheiro,200274;200345;200350;210470;270001
090775,9,Películas protetoras adaptadas para smartphones,180143
090776,9,Headsets de realidade virtual,380059;420303
090777,9,"Quadros brancos interativos, eletrônicos",060062;060472;120221;120284;150044;160008;160030;160201;160348;160350;200040;200190;200197;200344;220089;280193;390113;410233;410268;410269
090778,9,Robôs humanoides com inteligência artificial para uso em pesquisa científica,070598;410259;420208;420222;420277;420278;420284;420290;420315
090779,9,Mixers de áudio,410085
090780,9,Pilhas para cigarros eletrônicos,340020;340021;340039;340040;340043
090781,9,Chaveiros eletrônicos [aparelhos de controle remoto],120257;120314;140181;280185
090782,9,"Partitura eletrônica, baixável",150080;160374;410092
090783,9,Réguas t para medir,100129;160069;160234;160298
090784,9,Esquadros para medir,060123;080017;100129;160069;160297
090785,9,Réguas esquadros para medir,060123;080017;160069;160234;160297;160298
090787,9,Robôs de laboratório,070422;070627;100253;110058;110150;110150;110176;120335;280231;420217
090788,9,Robôs didáticos,070627;100253;120335;160071;160106;280231
090789,9,Robôs de vigilância para segurança,070627;100253;110182;120330;120335;190192;280231;390131;450099;450251;450262
090790,9,Assistentes pessoais digitais [pda],250198;380047;450228;450279
090791,9,"Plataformas de programas de computador, gravados ou baixáveis",130057;160231;420197;420249
090792,9,Localizadores de satélite [medidores de intensidade de sinal],100267;150045;380035;390095
090793,9,Medidores de anel,100222;100267;100273;420259
090794,9,Medidores de dedo,100079;100222;100267;100273
090795,9,Computadores thin client,200266;350084;370116;380037;380040;380041;400144;420083;420194;420203;420215;420235
090796,9,Câmeras de ré para veículos,100231;110112;120047;120074;120077;120117;120125;120128;120149;120195;120212;120258;120261;120271;120276;120326;120327;390044;410088;420195;450262
090797,9,Dicionários eletrônicos portáteis,060062;060248;060472;060480;070480;110149;150044;160350;200333;200339;200344;210261;210261;210301;210448;280193;340039;370160;390113;410233;410268;410269;430207
090798,9,Simuladores para treinamento em ressuscitação,410061;410189;410207;410218;410228
090799,9,Chicotes elétricos automotivos,060311;070211;070256;070281;070287;070308;070331;070403;070444;070475;070489;070526;070528;070529;070553;070558;070558;070560;070565;070578;070585;070586;080169;080179;080214;080221;080242;080243;080248;080249;080251;080281;100175;100179;100191;100202;110082;110087;110107;110137;110257;110261;110293;110305;110348;110354;110362;110363;110375;110413;120110;120317;120318;120319;140032;160293;170029;210043;210048;210056;210084;210096;210111;210158;210176;210226;210229;210238;210239;210256;210264;210274;210345;210377;210406;210416;210429;210477;260127;370117;370151
090801,9,Apitos para esportes,210144;250132;250141;250172;280046;280052;280064;280143;280144;280258;280266;410233
090802,9,"Softwares protetores de tela para computadores, gravados ou baixáveis",160063
090803,9,Lentes [objetivas] para autorretrato,010377;010708;050094;050365;100194;100194;100329;100335;100336;100337;100338
090804,9,Elementos gráficos baixáveis para telefones celulares,260151;370153;420238
090805,9,Aparelhos de telecomunicação na forma de joias,070172;100005;100057;100063;100120;100134;100135;100158;100196;110172;110415;140165;140166;280031;280044;280044;280243;360061;380033;380036;380042;420255
090806,9,Computadores vestíveis,420083
090807,9,Monitores de vídeo vestíveis,380053;410069;410106
090808,9,"Aparelhos de imagem por ressonância magnética [IRM], exceto para fins médicos",010690;010742;050209;050227;050337;050518;050519;050528;050531;100182;100220;100227;100231;100238;100245;100258;100278;100285;100307;100311;100317;100320;100325;100346;110342
090809,9,Sinalizadores a laser para resgate,060370;070597;120306;120332;130035;130080;390082;400086
090810,9,"Cartuchos de tinta, vazios, para impressoras e fotocopiadoras",020062;020080;020121;020123;020132;020133;020138;080282;130023;160089
090811,9,Pedais wah-wah,070516;120092;150060
090812,9,Instrumentos de medição de altura,140030;420136;420268;420312
090813,9,Cabeças para treinamento de penteados [material de ensino],100149;160175;410017;410061;410075;410189;410210;410211;410218
090814,9,Dispositivos para a projeção de teclados virtuais,100291;150061;280282
090815,9,Cobertores de sobrevivência,100191;110305;240114;240121;240136
090817,9,Dispositivos de análise granulométrica de nanopartículas,100087;100244;100291;120038;350007;360046;420008;420177;420211;420216;450268
090818,9,Almofadas para fones de ouvido,100098;100124;100299;200078;260055;260078
090819,9,Luvas de dados,100043;100092;210290;210294;210321;210360;210403;210418;240055;250067;250099;250167;250187;250196;250197;250205;250210;280032;280050;280072;280074;280132;280141;280153;280248;350117;350133;380044;380051;420175;420225;420243
090820,9,Mouse com trackball para computador,200375;350080;350081;350086;380023;380024;420139;420140;420141;420159;420176;420197;420201;420204;420206;420239;420249;420262;420267;420282;450212
090821,9,Emoticons baixáveis para telefones celulares,260151;370153;420238
090822,9,Robôs de telepresença,070422;070598;070614;070627;100253;120335;280231;390138;400135;410259;430212;440233
090823,9,Termostatos digitais para climatização,250198;380047
090824,9,Sensores piezoelétricos,250198;280155;280272
090825,9,Diodos emissores de luz orgânicos [oled],110414
090826,9,Diodos emissores de luz quânticos [qled],110414
090827,9,"Conta-gotas graduados, exceto para uso médico ou doméstico",050096;050108;050393;050437;100024;100061;100089;100274;100306;100347;210397;210398
090828,9,Soquetes elétricos,060311;070211;070256;070281;070287;070308;070331;070403;070444;070475;070489;070526;070528;070529;070553;070558;070558;070560;070565;070578;070585;070586;080169;080179;080214;080221;080242;080243;080248;080249;080251;080281;100175;100179;100191;100202;110082;110087;110107;110137;110257;110261;110293;110305;110348;110354;110362;110363;110375;110413;120110;120317;120318;120319;140032;160293;170029;210043;210048;210056;210084;210096;210111;210158;210176;210226;210229;210238;210239;210256;210264;210274;210345;210377;210406;210416;210429;210477;260127;370117;370151
090829,9,Programas de jogos de computador baixáveis,160354;280078;280079;280128;280287;420197;420282
090830,9,"Sinalizadores de resgate, não explosivos e não pirotécnicos",060370;120306;120332;130034;130054;130060;130080
090831,9,Suportes adaptados para laptops,060431;070092;120245;120268;130082;200212;260046
090832,9,Acessórios para cabeça [capacetes de proteção],450278
090833,9,Cadeados eletrônicos,060062;060472;200344;280193;410233;410268
090834,9,Cintos de lastro para mergulho,080247;100045;100047;100175;110322;120322;120351;250031;260031;280142;280212;280247;410065
090835,9,Fones de ouvido para comunicação remota,100124;100299;350157
